Id,name,T3_Kills,T2_Kills,T1_Kills,RssAssistance,RssGathered,AllianceHelp
14109586,Heresy III,227136,159496,711348,1278959999,13358083821,42430
13863867,Nezhaforever,2058260,1506445,26775383,5459029208,17810336539,46524
2451401,Speccy4eyes,1923695,1066888,2287724,2460383938,21522667772,115783
28270506,CarrierJohn,364180,194381,656435,1945573941,22112181591,68042
9471719,Lastwar,1448664,2144449,2489844,4575183916,22821752807,135875
9828945,ivysaurus,461670,981911,1670433,8046566804,22314170004,202165
9067996,Nub Sui,811831,485709,1438178,7403679182,26091619603,72145
11980323,TomHDL,947413,512689,1073064,2210400007,13021183166,66007
28325228,Budluck'R,324907,240540,677401,3709507170,14144166011,72738
34798475,CarrierJ,161258,108313,57696,6027459796,18257468035,34370
17533687,MadAttendant,183237,1273660,55850322,7803722584,18919996382,58993
17405603,HunterKill3r,1679100,1147426,9466365,2178349884,4162492788,40324
37271872,OHSleipnir,746164,887363,1074756,5878475356,12282033126,88247
3964251,Highlander79,210017,253796,2540750,10143985825,28338480430,175304
37024046,Its Qwert,10785660,14156405,29328947,8667778709,13589273818,62071
46572157,RonnyEbw,252396,549642,523526,1156643747,14875984541,90503
72081749,OHPaSaMa,1030928,439791,1138326,5727090035,18457445318,25483
3480912,xzec,2012388,450244,3146685,3320541613,16711558292,124867
16533347,NanookElDogs,449000,684863,1116848,13451711477,10085853307,13427
9076498,SQMistress3t,772399,770722,1200036,4157207432,19120214958,99918
9391109,ZH Egle,5207419,132250,280586,2932387814,18848091501,124374
29097632,DuracelL,979675,658241,645509,5447433808,11446617485,9615
9406091,Luis Suarez,1043670,}603038,3560427,6668097626,4497130782,36112
11113359,SZZOROSZ,5208723,2952916,3830214,7330722999,17928759569,135498
94442537,xajMosaX,878400,679207,713897,1929006614,12496760052,31093
28228449,Persinga ngaw,137204,101527,1320014,219600000,18915420046,75116
28208448,EnergiZer,7578081,5175539,2886143,3089278179,12062715981,25367
15168507,Highlander79 |,197462,101486,225260,10787711969,13152769893,26590
29734240,2H Chnew89,82862,642090,155157,472296116,15181989319,29556
34692668,Rik Noname,521903,343561,1810675,1639806418,18876067931,955139
33502549,ShetlonAbove',43157,77876,279630,881166439,6006803251,21086
2411461,Made in LLT,1594418,582614,2652736,1455979237,13518806530,35214
20700297,SWhiskey3t,5865037,3178565,6194393,9330204877,24455483488,108030
34122980,Jagya bhil,1582101,2336332,51432451,8389268877,20151808456,81871
19241701,POOCH Maniw,399597,482952,3583762,252835213,8234653015,8941
84152882,Woody D Duck,3115121,1335048,7131135,6926991811,12802064784,217-939
64909981,X Black Flag X,430170,909923,205662,46200990063,16205444275,56589
3463556,Thunderstick,1832045,883453,1042456,840011013,19141312285,60309
39414083,999Snoop,246007,517253,1063274,6772450425,8607607346,77010
30889521,RhECrypto,110742,132819,95607,4591319508,11812415428,48362
18208784,JU Stax,4393154,2351391,6810103,2968165707,7897852385,82761
83358707,imad 2,49581,73862,217280,19090395882,19693905298,45854
76525179,AAGH,427582,313264,8672981,1683734184,11823045056,31839
56842186,S Tyrande 8,2024318,5152406,2405893,7246448479,13227994103,56363
13719316,TECHSIN,1094335,315764,1731410,9027441678,17880919537,111546
2120430,Yellow peper,499075,1108780,23406824,4545458260,18073150114,69885
14915327,Secret Squirre,685650,215142,1100687,4809971927,14348121364,100015
23663084,hee-farm,239221,83935,247430,26811956538,17191142281,31583
27234433,DanielSebb,686128,240056,1375818,7516191743,7560212363,22860
14202127,Edvus,302862,349302,634399,1975502105,12379395839,20378
31578656,DAVID,4226176,1351808,346101,4351664742,11933490526,23288
38693871,FaFouTis,237221,349970,875449,15285226491,30651416312,52059
28214592,SAADIraqi lion,312886,239376,201980,4729098340,17158894962,68007
19744769,St Lady D 82,323504,263916,1077661,4886019422,8791978230,98445
77174079,OHVickydiel,1750908,1801766,945752,2390861795,11645351729,20857
17396209,Rilleks,1265619,620199,2371810,2715190995,12501102727,60638
17642161,StAlfaKoral3z,3213,127205,58313,4522420917,10707154744,48887
28270146,Leann6661,1322908,948549,2138403,1183570000,12525175621,93397
50899585,CALLMESTAX “,1583425,681776,1671205,1112155968,12040059805,44384
14125876,Bad Iskan,88499,63291,205163,4702048415,10248682228,51066
28379153,Dana iw,1570349,721146,55946947,506184396,7691768812,24358
