Id,name,T3_Kills,T2_Kills,T1_Kills,RssAssistance,RssGathered,AllianceHelp,Pass4_T3_Kills,Pass4_T2_Kills,Pass4_T1_Kills,Pass4_RssAssistance,Pass4_RssGathered,Pass4_AllianceHelp,Total_LowTier_Kills,Total_RSS_Gather,Total_Helps,Total_Assistance
9076498,SQMistress3t,"771,006","764,040","1,185,685","4,157,207,432","18,909,377,586","9,259","772,399","770,722","1,200,036","4,157,207,432","19,120,214,958","99,918",,,,
9855970,Rabid Dog,"158,756","301,831","1,138,358","4,018,078,549","19,023,438,673","48,807","160,316","341,958","1,138,360","4,018,078,549","19,289,622,670","49,552",,,,
9471719,Lastwar,"1,407,508","2,123,950","2,463,003","4,575,183,916","22,486,018,182","134,558","1,448,664","2,144,449","2,489,844","4,575,183,916","22,821,752,807","135,875",,,,
11980323,TomHDL,"947,077","509,875","1,073,057","2,210,400,007","12,832,082,480","65,356","947,413","512,689","1,073,064","2,210,400,007","13,021,183,166","66,007",,,,
14109586,Heresy III,"227,126","159,496","711,348","1,278,959,999","13,162,249,996","41,642","227,136","159,496","711,348","1,278,959,999","13,358,083,821","42,430",,,,
17565504,Cozzz,"2,162,656","1,729,851","2,198,018","1,023,396,053","27,736,095,129","84,337","2,164,895","1,738,381","2,233,563","1,023,396,053","28,176,005,188","86,209",,,,
28270506,CarrierJohn,"358,577","193,363","627,194","1,945,573,941","21,703,602,892","65,673","364,180","194,381","656,435","1,945,573,941","22,112,181,591","68,042",,,,
22945051,Lexa Heda,"568,471","3,548,884","20,620,880","1,693,453,101","23,030,795,817","98,021","568,471","3,548,884","20,620,880","1,693,453,101","23,155,872,231","98,808",,,,
28303594,THE RICO,"1,363,690","1,944,659","3,080,083","1,393,000,000","22,071,432,985","68,774","1,363,690","1,944,659","3,080,611","1,393,000,000","22,479,209,087","70,054",,,,
72081749,OHPaSaMa,"1,004,701","430,629","167,819","5,416,570,035","17,997,399,584","23,890","1,030,928","439,791","1,138,326","5,727,090,035","18,457,445,318","25,483",,,,
9828945,ivysaurus,"461,246","981,910","1,660,175","8,046,566,804","22,214,821,725","201,105","461,670","981,911","1,670,433","8,046,566,804","22,314,170,004","202,165",,,,
20895987,StLecheSt,"2,112,357","883,300","12,665,416","8,574,983,709","13,385,614,564","82,018","2,112,589","888,267","12,667,613","8,574,983,709","13,461,615,333","83,484",,,,
17405603,NeymakR Jr,"1,679,100","1,147,383","9,466,363","1,568,349,884","4,107,065,436","39,874","1,679,100","1,147,426","9,466,365","2,178,349,884","4,162,492,788","40,324",,,,
28228449,Persinga ngaw,"108,417","95,841","1,170,589","219,600,000","18,506,991,515","73,360","137,204","101,527","1,320,014","219,600,000","18,915,420,046","75,116",,,,
2451401,Speccy4eyes,"1,923,695","1,066,888","2,287,724","2,460,383,938","21,424,943,255","115,217","1,923,695","1,066,888","2,287,724","2,460,383,938","21,522,667,772","115,783",,,,
28214592,SAADIraqi lion,"312,886","239,376","201,980","4,729,098,340","17,033,630,319","67,897","312,886","239,376","201,980","4,729,098,340","17,158,894,962","68,007",,,,
15987592,4 Hexagon L,"363,380","322,984","997,976","5,403,537,070","17,061,040,681","65,742","363,380","322,984","997,979","5,403,537,070","17,328,404,915","66,663",,,,
3964251,Highlander79,"209,969","246,731","2,539,119","10,143,985,825","27,979,184,280","171,962","210,017","253,796","2,540,750","10,143,985,825","28,338,480,430","175,304",,,,
16385321,MA} MAK,"10,247","36,239","251,450","23,455,144,766","16,389,901,961","44,029","10,325","36,239","251,450","24,415,144,766","16,744,026,090","45,704",,,,
17396209,Rilleks,"1,265,619","619,383","2,369,775","2,715,190,995","12,466,950,385","60,120","1,265,619","620,199","2,371,810","2,715,190,995","12,501,102,727","60,638",,,,
37271872,OHSleipnir,"745,583","874,309","842,351","5,863,475,355","11,984,819,893","85,951","746,164","887,363","1,074,756","5,878,475,356","12,282,033,126","88,247",,,,
46572157,RonnyEbw,"251,905","545,511","518,440","1,156,643,747","14,647,062,979","88,200","252,396","549,642","523,526","1,156,643,747","14,875,984,541","90,503",,,,
34692668,Rik Noname,"506,434","339,226","1,798,993","1,639,806,418","18,521,841,255","93,808","521,903","343,561","1,810,675","1,639,806,418","18,876,067,931","955,139",,,,
3480912,xzec,"2,010,809","440,102","2,585,564","3,255,541,613","16,453,139,013","122,732","2,012,388","450,244","3,146,685","3,320,541,613","16,711,558,292","124,867",,,,
34798475,CarrierJ,"157,979","107,807","50,588","6,027,459,796","17,920,870,649","32,817","161,258","108,313","57,696","6,027,459,796","18,257,468,035","34,370",,,,
28325228,Budluck'R,"324,907","240,540","677,401","3,709,507,170","14,111,790,691","72,696","324,907","240,540","677,401","3,709,507,170","14,144,166,011","72,738",,,,
17533687,MadAttendant,"183,237","1,273,660","55,850,320","7,803,722,584","18,875,146,921","58,490","183,237","1,273,660","55,850,322","7,803,722,584","18,919,996,382","58,993",,,,
27234433,DanielSebb,"685,149","232,294","1,354,007","7,396,191,743","7,550,265,791","22,700","686,128","240,056","1,375,818","7,516,191,743","7,560,212,363","22,860",,,,
29734240,2H Chnew89,"82,131","641,957","155,153","472,296,116","14,967,561,499","29,341","82,862","642,090","155,157","472,296,116","15,181,989,319","29,556",,,,
18208784,JU Stax,"4,356,804","2,340,588","6,742,421","94,458,165,707","7,897,850,386","82,605","4,393,154","2,351,391","6,810,103","2,968,165,707","7,897,852,385","82,761",,,,
38693871,FaFouTis,"237,087","349,354","875,328","11,610,226,491","30,260,226,619","51,384","237,221","349,970","875,449","15,285,226,491","30,651,416,312","52,059",,,,
9406091,Luis Suarez,"1,043,670","603,038","3,560,427","6,668,097,626","4,477,239,401","36,106","1,043,670",}603038,"3,560,427","6,668,097,626","4,497,130,782","36,112",,,,
28270146,Leann6661,"1,281,531","928,165","2,098,687","1,183,570,000","12,398,855,027","91,456","1,322,908","948,549","2,138,403","1,183,570,000","12,525,175,621","93,397",,,,
2411461,Made in LLT,"1,593,858","582,584","2,649,653","1,455,979,237","13,329,962,890","34,632","1,594,418","582,614","2,652,736","1,455,979,237","13,518,806,530","35,214",,,,
64909981,X Black Flag X,"429,903","909,599","188,456","43,555,990,063","15,879,063,796","55,689","430,170","909,923","205,662","46,200,990,063","16,205,444,275","56,589",,,,
29097632,DuracelL,"979,675","658,241","645,509","5,447,433,808","11,394,542,091","9,504","979,675","658,241","645,509","5,447,433,808","11,446,617,485","9,615",,,,
19744769,St Lady D 82,"309,343","263,892","1,060,047","4,886,019,422","8,764,921,986","96,535","323,504","263,916","1,077,661","4,886,019,422","8,791,978,230","98,445",,,,
28208448,EnergiZer,"7,577,993","5,171,426","2,875,960","3,089,278,179","11,960,186,617","24,942","7,578,081","5,175,539","2,886,143","3,089,278,179","12,062,715,981","25,367",,,,
34122980,Jagya bhil,"1,581,966","2,332,746","51,255,242","8,389,268,877","19,704,022,573","80,940","1,582,101","2,336,332","51,432,451","8,389,268,877","20,151,808,456","81,871",,,,
94442537,xajMosaX,"878,400","679,207","713,897","1,929,006,614","12,405,840,476","31,034","878,400","679,207","713,897","1,929,006,614","12,496,760,052","31,093",,,,
11113359,SZZOROSZ,"5,192,736","2,927,187","3,751,019","7,330,722,999","17,917,839,177","132,861","5,208,723","2,952,916","3,830,214","7,330,722,999","17,928,759,569","135,498",,,,
31578656,DAVID,"4,193,215","1,349,532","342,389","4,351,664,742","11,702,686,902","21,883","4,226,176","1,351,808","346,101","4,351,664,742","11,933,490,526","23,288",,,,
76525179,AAGH,"416,443","311,013","8,671,942","1,683,734,184","11,685,699,265","31,547","427,582","313,264","8,672,981","1,683,734,184","11,823,045,056","31,839",,,,
84152882,WoodyDucky,"3,113,635","1,335,048","6,873,578","6,926,991,811","12,792,598,874","27,658","3,115,121","1,335,048","7,131,135","6,926,991,811","12,802,064,784",217-939,,,,
33502549,ShetlonAbove',"42,954","77,860","279,611","881,166,439","5,988,565,520","20,875","43,157","77,876","279,630","881,166,439","6,006,803,251","21,086",,,,
39414083,999Snoop,"245,876","514,405","1,063,038","6,772,450,425","8,500,993,195","75,815","246,007","517,253","1,063,274","6,772,450,425","8,607,607,346","77,010",,,,
15168507,Highlander79 |,"197,462","101,114","47,712","10,787,711,969","12,988,893,881","25,972","197,462","101,486","225,260","10,787,711,969","13,152,769,893","26,590",,,,
3463556,Thunderstick,"1,831,718","883,418","1,042,420","840,011,013","18,856,407,357","59,433","1,832,045","883,453","1,042,456","840,011,013","19,141,312,285","60,309",,,,
9391109,ZH Egle,"5,207,419","132,250","278,960","2,932,387,814","18,802,290,741","123,181","5,207,419","132,250","280,586","2,932,387,814","18,848,091,501","124,374",,,,
