Id,name,Starting_power,Total_Kills,T5_Kills,T4_Kills,Deaths,Pass4_Power,Total_Kills_Pass4,T5_Kills_Pass4,T4_Kills_Pass4,Deaths_Pass4,Pass4_Total_kills ,Pass4_T5_Kills,Pass4_T4_Kills,Pass4_Deaths
60965001,IJ uulHEMIlJ,55353922,436294968,10707617,19222145,6415262,58211859,436294968,10707617,19222145,6415262, -   ,0.00E+00, -   , -   
28419870,Heisenberg 89,57698607,40649366,985743,1661612,8581580,58124307,40649366,985743,1661612,8581580, -   ,0.00E+00, -   , -   
13880048,Pugsley97,57520517,12143231,214012,786298,4708826,58076977,12143231,214012,786298,4708826, -   ,0.00E+00, -   , -   
28300028,ABU NASSER,55613627,173626919,2801406,10336804,2385631,57706191,201972716,3610811,11552080,2648575,"28,345,797.00",8.09E+05,"1,215,276.00","262,944.00"
2353964,derpstone,56443826,74129904,2066161,3096306,10467068,57209926,87726135,2066161,4091547,10564361,"13,596,231.00",0.00E+00,"995,241.00","97,293.00"
28282912,Lans66,55842729,20680912,582132,766056,11857231,57169603,20680912,582132,766056,11857231, -   ,0.00E+00, -   , -   
4016167,Ldcarpathes,56993505,199251408,5570685,7971107,4509390,57005165,199251408,5570685,7971107,4509390, -   ,0.00E+00, -   , -   
39381278,999Wolf,56034444,12218547,254084,578365,660773,56798444,12218547,254084,578365,660773, -   ,0.00E+00, -   , -   
9392884,educet,55482960,90857218,2686785,3560052,13386523,56546952,90857218,2686785,3560052,13386523, -   ,0.00E+00, -   , -   
28343184,Najmil1,55652370,43307,0,1838,4945,56473681,43307,0,1838,4945, -   ,0.00E+00, -   , -   
36747489,Ephantis,58947862,474205127,18882748,9515495,5113729,56079474,580813514,23422816,11095453,5521344,"106,608,387.00",4.54E+06,"1,579,958.00","407,615.00"
42514893,WrEcK HaVoK,55487196,115712534,3535685,4354698,2465550,55986684,115712534,3535685,4354698,2465550, -   ,0.00E+00, -   , -   
12451821,Onsenffou,53920806,540046313,19363180,14934178,17618072,55886572,540089008,19363180,14935281,17618072,"42,695.00",0.00E+00,"1,103.00", -   
99396699,OHMadMax64,53959951,6958976,40395,511519,6980,55879663,8274996,87326,549259,47641,"1,316,020.00",4.69E+04,"37,740.00","40,661.00"
52086629,Rolpsy,57313955,321247288,10627177,10318608,7887764,55811536,348229748,11758578,10754052,8041879,"26,982,460.00",1.13E+06,"435,444.00","154,115.00"
56780541,“EinherjarS,62747213,156912932,5892361,3881640,7877444,55731297,180081524,6877371,4228450,9885789,"23,168,592.00",9.85E+05,"346,810.00","2,008,345.00"
89220552,ir ‘yMaster Po,59678594,761421836,19189830,36803370,7302490,55729597,804133512,21002665,37433198,7760882,"42,711,676.00",1.81E+06,"629,828.00","458,392.00"
82810160,Filoucheqc,53438756,113229150,3526848,3791983,3362039,55313548,117922910,3720548,3873959,3402280,"4,693,760.00",1.94E+05,"81,976.00","40,241.00"
1742231,TarantinoBZH,80522976,2.60E+09,93912173,71381700,21843177,55151741,2637965427,95475179,72042831,23484875,"37,965,427.00",1.56E+06,"661,131.00","1,641,698.00"
21017676,badGazzaG,54259041,832173533,27499679,27411424,15461869,55063471,832173533,27499679,27411424,15461869, -   ,0.00E+00, -   , -   
15168136,SZ LUFFY SZ,53597176,70727084,2085943,2858953,9490459,55043176,70727084,2085943,2858953,9490459, -   ,0.00E+00, -   , -   
2616715,ARNO le NORD,54412247,1.49E+09,47454020,53705053,19575504,55036349,1489477536,47454020,53705053,19575504,"-522,464.00",0.00E+00, -   , -   
53452615,El Paquito,55265677,220695523,7010036,7948524,9068067,54919313,248812421,7978368,8780652,9581312,"28,116,898.00",9.68E+05,"832,128.00","513,245.00"
2486726,@G Senpai,53984756,149014013,3432874,7750749,8056233,53975337,149014013,3432874,7750749,8056233, -   ,0.00E+00, -   , -   
7722826,LordNameless,53835339,269656907,8548698,9789724,5900435,53891239,269656907,8548698,9789724,5900435, -   ,0.00E+00, -   , -   
28481843,budluckTR2,53582719,129202373,3803344,4902544,6513124,53816737,129202373,3803344,4902544,6513124, -   ,0.00E+00, -   , -   
52610162,PrincipalAnd,53541016,29153995,1218673,448627,3991946,53536630,29153995,1218673,448627,3991946, -   ,0.00E+00, -   , -   
20981772,BadAtiLa 1,53462193,545996186,18438062,17422675,15432995,53462193,545996186,18438062,17422675,15432995, -   ,0.00E+00, -   , -   
26583819,Budluck0Oo'R,53184501,89795027,2917558,2940015,5919022,53394867,89795027,2917558,2940015,5919022, -   ,0.00E+00, -   , -   
28259686,Master Binbin,53385017,19286427,293854,1292957,313583,53385017,19286427,293854,1292957,313583, -   ,0.00E+00, -   , -   
28209988,Jaeger 69,51873344,159780216,1316626,12475929,7407961,52814644,159780216,1316626,12475929,7407961, -   ,0.00E+00, -   , -   
29881568,Milanok,53769527,83407571,3094021,2070853,11787085,52289237,86209461,3172015,2195054,11871792,"2,801,890.00",7.80E+04,"124,201.00","84,707.00"
31369906,Wan Shein,53392660,30202001,1389288,179391,1506238,52163960,30659344,1404998,187263,2369490,"457,343.00",1.57E+04,"7,872.00","863,252.00"
29944980,ROLLING STO?,50430392,34303675,1632679,85485,2878454,52133756,34303675,1632679,85485,2878454, -   ,0.00E+00, -   , -   
29093542,ConfusedWolfi,51671692,371658748,4355215,25586825,5887944,51984750,371658748,4355215,25586825,5887944, -   ,0.00E+00, -   , -   
37026347,Nurse Q,53517640,365416723,12545959,11012617,9855728,51918304,383185654,13212238,11456952,10569110,"17,768,931.00",6.66E+05,"444,335.00","713,382.00"
