Id,name,Starting_power,Total_Kills,T5_Kills,T4_Kills,Deaths,Pass4_Power,Total_Kills_Pass4,T5_Kills_Pass4,T4_Kills_Pass4,Deaths_Pass4,Pass4_Total_kills ,Pass4_T5_Kills, Pass4_T4_Kills , Pass4_Deaths 
9406091,Luis Suarez,67085360,329633141,9366733,13620564,9446118,67128575,329633141,9366733,13620564,9446118,0,0,0,0
11113359,SZZOROSZ,65829541,3.92E+09,1.19E+08,1.51E+08,17263446,67073622,4016353156,122411250,154062139,17743086,96353156,3410000,3062139,479640
94442537,xajMosaX,66026032,245726743,7446261,9178673,3546426,66988358,245726743,7446261,9178673,3546426,0,0,0,0
28228449,Persinga ngaw,71376239,878817707,32027615,23740594,12257444,66703981,980669592,35981361,26002650,13293074,101851885,3950000,2262056,1035630
28208448,EnergiZer,66319158,383974576,4701139,24872178,8649626,66522438,390180050,4908425,25077092,8764970,6205474,207000,204914,115344
15168507,Highlander79 |,64704897,98100278,3545200,2619466,2803720,66485713,108963652,4001363,2789852,3091636,10863374,456000,170386,287916
29734240,2H Chnew89,68288779,219556028,7784868,6221520,8552719,66434419,229900289,8169887,6485589,8865733,10344261,385000,264069,313014
34692668,Rik Noname,69734888,852517306,30033761,24877810,14533163,65608972,921399979,32813543,26199225,15684390,68882673,2780000,1321415,1151227
33502549,ShetlonAbove',65282680,147404458,5189126,4323848,8223449,65895460,149373716,5267769,4363403,8268600,1969258,78600,39555,45151
2411461,Made in LLT,66618667,670146210,18279859,29647850,9147523,65416275,693462407,19237190,30064516,9706297,23316197,957000,416666,558774
20700297,SWhiskey3t,75696071,4.11E+09,1.32E+08,1.44E+08,35756429,65328973,4283489546,138770805,147701729,37771399,173489546,6770000,3701729,2014970
34122980,Jagya bhil,66230307,1.32E+09,42037729,45333777,15444752,65186599,1382908508,44803202,46555691,15781945,62908508,2770000,1221914,337193
19241701,POOCH Maniw,62487821,153261664,4362032,6273998,1957036,64972285,157426654,4536155,6342251,1957036,4164990,174000,68253,0
84152882,Woody D Duck,65344250,1.22E+09,35250805,49442329,9553103,64685326,1386060407,41813033,53324294,9855084,166060407,6560000,3881965,301981
64909981,X Black Flag X,66607103,308516761,10514342,9465342,6732881,64038894,356406768,12494162,10294187,7568397,47890007,1980000,828845,835516
3463556,Thunderstick,64696532,476170902,14712531,17261809,13358749,63986836,493218927,15427691,17536153,13551758,17048025,715000,274344,193009
39414083,999Snoop,65222941,300784571,10655277,8545411,4365832,63953791,315455468,11271792,8778844,4715307,14670897,617000,233433,349475
30889521,RhECrypto,62993499,271789707,7629518,11847162,7050752,63922567,271789707,7629518,11847162,7050752,0,0,0,0
18208784,JU Stax,67674148,2.50E+09,67905753,1.12E+08,17527850,63680504,2554860838,69270959,114580424,18245870,54860838,1370000,2580424,718020
83358707,imad 2,63855324,53754051,1499749,2336974,2742385,63583160,57645704,1648448,2428724,3007212,3891653,149000,91750,264827
76525179,AAGH,65461930,329650016,11237921,10086941,7035847,63420871,346230442,11823056,10569787,7567683,16580426,585000,482846,531836
56842186,S Tyrande 8,63236994,1.06E+09,38050041,27827310,8517352,63135141,1166506942,42897065,28968238,8849983,106506942,4850000,1140928,332631
13719316,TECHSIN,61959853,1.60E+09,47211512,64841780,14503045,63122189,1598003190,47211512,64841780,14503045,1996810,0,0,0
14915327,Secret Squirre,61672823,315137382,10349416,10476824,6218962,62972868,322216961,10583136,10716122,6252886,7079579,234000,239298,33924
23663084,hee0farm,61043678,73533760,1853157,3529638,3557174,62967084,76946750,1997567,3582117,3557174,3412990,144000,52479,0
27234433,DanielSebb,68402583,509002025,14198680,22155244,7434748,62716165,569417277,16578589,23434571,8463583,60415252,2380000,1279327,1028835
14202127,Edvus,57907983,372017791,9839659,17318768,8665622,62616536,372017791,9839659,17318768,8665622,0,0,0,0
31578656,DAVID,65595119,250321971,7649996,7778165,12994175,62561303,280081510,8820633,8399131,13538328,29759539,1170000,620966,544153
38693871,FaFouTis,67516112,373361551,10923693,15306557,11558495,62553792,406685443,12241598,16002957,12686372,33323892,1320000,696400,1127877
28214592,SAADIraqi lion,71202913,194324852,5050117,9155182,15539739,62383293,198596522,5253814,9174955,16087982,4271670,204000,19773,548243
19744769,St Lady D 82,66359105,530123115,17888617,17037361,13237095,62314179,554158570,18831227,17549665,13855387,24035455,943000,512304,618292
77174079,OHVickydiel,61852870,114135220,3387842,3559117,7678952,62281925,135692264,4282071,3925453,8066431,21557044,894000,366336,387479
17396209,Rilleks,70767017,938790027,29768287,33664909,8255597,62126997,1000189236,32354902,34631396,9270483,61399209,2590000,966487,1014886
17642161,StAlfaKoral3z,62116846,245417594,8219303,8075261,6761793,62117176,245417594,8219303,8075261,6761793,0,0,0,0
28270146,Leann6661,66647815,401033031,10990417,17382250,9631433,61940545,438207620,12230768,18597585,10544054,37174589,1240000,1215335,912621
50899585,CALLMESTAX “,62115856,416131793,13457772,13920713,9014437,61936020,500167603,16768100,15677411,9894355,84035810,3310000,1756698,879918
14125876,Bad Iskan,59144976,677965530,24175351,19393690,19669685,61867176,677965530,24175351,19393690,19669685,0,0,0,0
28379153,Dana iw,54490106,442352357,13980909,14382110,11366976,61381300,442691597,13997871,14382110,11366976,339240,17000,0,0
9450025,ZoO fi€ Anarchy,64320840,598650341,22781561,14213843,9067620,61375104,629438576,24020487,14814805,9572170,30788235,1240000,600962,504550
3461098,ti Johnbernie,58801393,33760344,747010,1847180,1714453,60656242,34672184,785344,1861696,1733479,911840,38300,14516,19026
7385964,SZ RomioS,63304993,310005276,9527821,11920895,8452916,60578387,334626084,10664452,12109638,9259540,24620808,1140000,188743,806624
17824938,Devil U made,59300539,73401661,2017483,2947526,4995198,59800459,73401661,2017483,2947526,4995198,0,0,0,0
61716103,Donar1887,60083440,99081206,2777228,4073945,7051975,59664146,104229995,3020251,4102750,7269783,5148789,243000,28805,217808
