,Id,name,DeathReq,KillReq
216,28254437,Boorinyeung,1000000,3000000
217,29250801,Taanni,1000000,3000000
218,23549084,Yoba Bat,1000000,3000000
219,19078891,ZeePharm,1000000,3000000
220,36552064,Sweet Trauma,1000000,3000000
221,32087827,Farmlandeee,1000000,3000000
222,27085784,LAW x,1000000,3000000
223,1.04E+08,Lv 94jr,1000000,3000000
224,20686834,Skiwhirl,1000000,3000000
225,40522634,General 8,1000000,3000000
226,25272010,Ramolus,1000000,3000000
227,63506619,persinga farm,1000000,3000000
228,1.13E+08,Stoupi,1000000,3000000
229,28338445,DHOOM6666,1000000,3000000
230,6369198,Tarantinofarm,1000000,3000000
231,20488380,IskanFood,1000000,3000000
232,1.32E+08,Bensn13,1000000,3000000
233,1.33E+08,OHPtbaA,1000000,3000000
234,1.11E+08,xXMary Stuart,1000000,3000000
235,43985217,SZSANJISZ,1000000,3000000
236,94844727,Vickylein die 2,1000000,3000000
237,57826883,burnoose,1000000,3000000
238,28511475,Venomous Poi,1000000,3000000
239,46952552,Sleipnir80,1000000,3000000
240,44877242,SZUSOPPZ,1000000,3000000
241,94199334,snS5unwny,1000000,3000000
242,51167515,tigger III,1000000,3000000
243,33633625,budluckTR3,1000000,3000000
244,8645545,rssdrakou,1000000,3000000
245,1.13E+08,H6dmm044,1000000,3000000
246,1.33E+08,OHHarv3y,1000000,3000000
247,20655464,$2 LadY D 32,1000000,3000000
248,27882072,Vikinv,1000000,3000000
249,28272897,AlHady,1000000,3000000
250,44413633,uk player,1000000,3000000
251,5325135,G40Freak,1000000,3000000
252,3365255,GodOfKhaos,1000000,3000000
253,49749829,tigger IV,1000000,3000000
254,49209857,Hooligan No1,1000000,3000000
255,28272895,F dewi nur,1000000,3000000
256,1.17E+08,vato079,1000000,3000000
257,28529251,HERACLES,1000000,3000000
258,1.35E+08,Gunna,1000000,3000000
259,1.07E+08,OHpatsan,1000000,3000000
260,22125284,Cirice,1000000,3000000
261,64234183,ThePablo,1000000,3000000
262,33737639,budluckTR4,1000000,3000000
263,66734451,CK Farm 01,1000000,3000000
264,28488507,RICOsFarm,1000000,3000000
265,29341476,TomHDL Ill @,1000000,3000000
266,28243739,Othman92Boo,1000000,3000000
267,99843221,Battle Action 1,1000000,3000000
268,28507348,XXXX5,1000000,3000000
269,64930476,URUK HARD,1000000,3000000
270,58626254,Tsetseu,1000000,3000000
271,1.30E+08,moustik02,1000000,3000000
272,1.36E+08,OHAzaguhl,1000000,3000000
273,31603605,CupcakÃ©,1000000,3000000
274,1.13E+08,hermann wmh,1000000,3000000
275,42781849,ephantisse,1000000,3000000
276,35151927,Equalizerll,1000000,3000000
277,1.13E+08,Braggadociou:,1000000,3000000
278,1.37E+08,JessH98,1000000,3000000
279,74438870,Clyde Il,1000000,3000000
280,28252757,Operator 13,1000000,3000000
281,26118260,WildguyJay,1000000,3000000
282,28210795,Happy game,1000000,3000000
283,1.31E+08,OHSunny0902,1000000,3000000
284,1.13E+08,mOnster3k,1000000,3000000
285,40981910,budluckTr5,1000000,3000000
286,1.21E+08,Lv94jr2,1000000,3000000
287,68055720,Midnas Lamen,1000000,3000000
288,1.36E+08,Nyrond,1000000,3000000
289,11785337,EF Â© Beber,1000000,3000000
290,66286595,Dragonflies73,1000000,3000000
291,1.02E+08,Stormbrecher,1000000,3000000
292,31950129,AMrdgPAF,1000000,3000000
293,20873557,Whiskey Shot,1000000,3000000
294,1.07E+08,OHAbbspeed,1000000,3000000
295,4562538,MiniRici,1000000,3000000
296,1.37E+08,Marita,1000000,3000000
297,1.39E+08,Gordon Gekko,1000000,3000000
298,28265541,4713282655:,1000000,3000000
299,1.03E+08,OHminik1214,1000000,3000000
